indicator,level,name,sex,race_eth,median_earnings,median_earnings_se,median_earnings_low,median_earnings_upp
by_race_x_sex,region,Hospital of Central Connecticut HSA,male,api,75000,6584.373691376471,63000,88969
by_race_x_sex,region,Hospital of Central Connecticut HSA,female,api,52988,7653.488395567856,39741,70000
by_race_x_sex,region,Hospital of Central Connecticut HSA,male,other_race,60708,7523.36370225065,52988,82895
by_race_x_sex,region,Hospital of Central Connecticut HSA,female,other_race,50974,9390.284364236968,38787,76409
by_race_x_sex,region,Litchfield County,male,white,70000,2213.8816129221873,66316,75000
by_race_x_sex,region,Litchfield County,female,white,55816,1706.6631673978766,52988,59684
by_race_x_sex,region,Litchfield County,male,black,48632,10608.819697905665,39126,82661
by_race_x_sex,region,Litchfield County,female,black,59343,14395.220572269323,55263,115136
by_race_x_sex,region,Litchfield County,male,latino,57185,6447.447476800888,48553,74183
by_race_x_sex,region,Litchfield County,female,latino,47206,5549.355826092264,38684,60789
by_race_x_sex,region,Litchfield County,male,api,100000,35590.658884082186,53948,200000
by_race_x_sex,region,Litchfield County,female,api,55475,15563.26487996707,52988,117230
by_race_x_sex,region,Litchfield County,male,other_race,75527,19497.407438255017,47101,126112
by_race_x_sex,region,Litchfield County,female,other_race,58000,6636.504583067107,53948,80922
by_race_x_sex,region,Lower Connecticut River Valley COG,male,white,78422,1510.0074000582708,75000,80922
by_race_x_sex,region,Lower Connecticut River Valley COG,female,white,68884,2407.812764789259,64738,74183
by_race_x_sex,region,Lower Connecticut River Valley COG,male,black,46800,10533.943925577485,37681,79549
by_race_x_sex,region,Lower Connecticut River Valley COG,female,black,46395,7640.423200912595,32053,62580
by_race_x_sex,region,Lower Connecticut River Valley COG,male,latino,53948,5723.139970769381,43698,66316
by_race_x_sex,region,Lower Connecticut River Valley COG,female,latino,49737,7317.999315270867,39922,68884
by_race_x_sex,region,Lower Connecticut River Valley COG,male,api,75000,16192.828485433989,50000,114370
by_race_x_sex,region,Lower Connecticut River Valley COG,female,api,70000,12483.295572989986,44211,93947
by_race_x_sex,region,Lower Connecticut River Valley COG,male,other_race,63586,12755.52819597482,50241,101000
by_race_x_sex,region,Lower Connecticut River Valley COG,female,other_race,45008,12027.248143023162,40000,88000
by_race_x_sex,region,Lower Naugatuck Valley,male,white,85105,1409.1390248284742,82895,88421
by_race_x_sex,region,Lower Naugatuck Valley,female,white,68884,1195.3131718947645,66316,71004
by_race_x_sex,region,Lower Naugatuck Valley,male,black,55000,3561.4352531325935,51947,66000
by_race_x_sex,region,Lower Naugatuck Valley,female,black,57474,3845.4403883417394,50842,66000
by_race_x_sex,region,Lower Naugatuck Valley,male,latino,62802,4066.7263574451845,52988,69000
by_race_x_sex,region,Lower Naugatuck Valley,female,latino,51398,4216.391142491926,42390,59000
by_race_x_sex,region,Lower Naugatuck Valley,male,api,97107,7235.455594812675,77368,105976
by_race_x_sex,region,Lower Naugatuck Valley,female,api,72222,7263.279789094619,66316,95053
by_race_x_sex,region,Lower Naugatuck Valley,male,other_race,71175,7635.401613035395,58000,88421
by_race_x_sex,region,Lower Naugatuck Valley,female,other_race,56522,15747.655000833895,39000,102000
by_race_x_sex,region,MidState Medical Center HSA,male,white,75362,1371.3321121157965,73124,78502
by_race_x_sex,region,MidState Medical Center HSA,female,white,62802,1375.5198297223178,60422,65817
by_race_x_sex,region,MidState Medical Center HSA,male,black,52006,4037.2494126611045,43961,60000
by_race_x_sex,region,MidState Medical Center HSA,female,black,48853,2211.139584061411,44211,52988
by_race_x_sex,region,MidState Medical Center HSA,male,latino,48985,1763.9130381900989,47101,54048
by_race_x_sex,region,MidState Medical Center HSA,female,latino,41868,2384.4368492384815,37800,47195
by_race_x_sex,region,MidState Medical Center HSA,male,api,79482,13709.037394612706,56167,110526
by_race_x_sex,region,MidState Medical Center HSA,female,api,49405,8083.643342340209,40000,72064
by_race_x_sex,region,MidState Medical Center HSA,male,other_race,59347,4030.6251268485303,53948,70000
by_race_x_sex,region,MidState Medical Center HSA,female,other_race,49000,7215.308606702522,37092,66000
by_race_x_sex,region,Middlesex County,male,white,78422,1669.9551629554176,74448,81000
by_race_x_sex,region,Middlesex County,female,white,69054,2406.5223484976577,64738,74183
by_race_x_sex,region,Middlesex County,male,black,44211,12679.50312902837,34527,86317
by_race_x_sex,region,Middlesex County,female,black,46395,8514.891317489017,30200,64738
by_race_x_sex,region,Middlesex County,male,latino,53948,5828.132126975287,43000,66316
by_race_x_sex,region,Middlesex County,female,latino,50000,7963.893887543568,39922,71842
by_race_x_sex,region,Middlesex County,male,api,73164,16102.639150929008,50000,115449
by_race_x_sex,region,Middlesex County,female,api,68035,13733.144528176816,38000,93947
by_race_x_sex,region,Middlesex County,male,other_race,60000,15486.291623036992,41500,104669
by_race_x_sex,region,Middlesex County,female,other_race,44510,8190.253281268837,36634,70000
by_race_x_sex,region,Natchaug Hospital HSA,male,white,71842,1329.5977704753745,69944,75158
by_race_x_sex,region,Natchaug Hospital HSA,female,white,59343,1487.2598908118553,56167,62000
by_race_x_sex,region,Natchaug Hospital HSA,male,black,44171,8721.9422784583,37092,71842
by_race_x_sex,region,Natchaug Hospital HSA,female,black,33494,10494.959156668054,26494,68884
by_race_x_sex,region,Natchaug Hospital HSA,male,latino,45217,3291.172401003542,40000,52988
by_race_x_sex,region,Natchaug Hospital HSA,female,latino,39211,3119.189055128117,34760,47101
by_race_x_sex,region,Natchaug Hospital HSA,male,api,80922,6587.8230803008355,67825,93947
by_race_x_sex,region,Natchaug Hospital HSA,female,api,58615,10635.238618588664,51811,94203
by_race_x_sex,region,Natchaug Hospital HSA,male,other_race,81000,8627.650477627261,60000,94203
by_race_x_sex,region,Natchaug Hospital HSA,female,other_race,54428,9136.628047522237,37092,73369
by_race_x_sex,region,Naugatuck Valley COG,male,white,77368,1275.27495337679,75000,80000
by_race_x_sex,region,Naugatuck Valley COG,female,white,63586,1067.8544421598422,61755,65942
by_race_x_sex,region,Naugatuck Valley COG,male,black,49737,2274.1417292145516,45000,53948
by_race_x_sex,region,Naugatuck Valley COG,female,black,51947,3395.7446128323963,44211,57568
by_race_x_sex,region,Naugatuck Valley COG,male,latino,50842,2478.718264942367,44211,53948
by_race_x_sex,region,Naugatuck Valley COG,female,latino,42000,2142.2925908946063,38684,47101
by_race_x_sex,region,Naugatuck Valley COG,male,api,80000,8284.885936005307,70129,102789
by_race_x_sex,region,Naugatuck Valley COG,female,api,70133,5953.23794840025,56000,79482
by_race_x_sex,region,Naugatuck Valley COG,male,other_race,72064,5828.433106445128,60708,83736
by_race_x_sex,region,Naugatuck Valley COG,female,other_race,55263,8200.454361234428,37681,70133
by_race_x_sex,region,New Haven County,male,white,77368,1182.879333383147,75362,80000
by_race_x_sex,region,New Haven County,female,white,64738,696.2245622279341,63586,66316
by_race_x_sex,region,New Haven County,male,black,50000,2048.8120151967096,45000,53053
by_race_x_sex,region,New Haven County,female,black,48148,2032.894857155667,43961,51947
by_race_x_sex,region,New Haven County,male,latino,47689,1414.2653644690358,45316,50869
by_race_x_sex,region,New Haven County,female,latino,41868,1165.234104719344,39635,44211
by_race_x_sex,region,New Haven County,male,api,85000,6460.843533802504,77368,102789
by_race_x_sex,region,New Haven County,female,api,68884,5100.164028639383,56522,76606
by_race_x_sex,region,New Haven County,male,other_race,64105,3719.2336034424115,58287,73000
by_race_x_sex,region,New Haven County,female,other_race,56522,5423.980083788483,48553,70000
by_race_x_sex,region,New London County,male,white,76303,1375.7866922232404,74183,79579
by_race_x_sex,region,New London County,female,white,56106,1787.3523744394402,52988,60000
by_race_x_sex,region,New London County,male,black,51251,5568.7866589583555,44211,66316
by_race_x_sex,region,New London County,female,black,45008,6084.746105625202,44000,68526
by_race_x_sex,region,New London County,male,latino,44211,2058.738125022782,41868,50000
by_race_x_sex,region,New London County,female,latino,43158,2792.3968859178954,38684,49737
by_race_x_sex,region,New London County,male,api,74183,13187.822016679484,47101,99436
by_race_x_sex,region,New London County,female,api,50621,8586.750832628937,40000,74183
by_race_x_sex,region,New London County,male,other_race,70000,6969.485768834333,52335,80000
by_race_x_sex,region,New London County,female,other_race,55000,9643.503264561848,49632,88000
by_race_x_sex,region,North Central DMHAS,male,white,80000,1120.5263897183438,78502,82895
by_race_x_sex,region,North Central DMHAS,female,white,66316,990.6562036124617,65000,68884
by_race_x_sex,region,North Central DMHAS,male,black,52335,2029.2620942022475,48553,56522
by_race_x_sex,region,North Central DMHAS,female,black,46000,1675.54915926214,43158,49737
by_race_x_sex,region,North Central DMHAS,male,latino,43857,1200.381723351659,42390,47101
by_race_x_sex,region,North Central DMHAS,female,latino,38832,1129.3536486667351,36474,40907
by_race_x_sex,region,North Central DMHAS,male,api,90000,3930.5175630590643,84000,99436
by_race_x_sex,region,North Central DMHAS,female,api,70000,3994.057550131699,62802,78502
by_race_x_sex,region,North Central DMHAS,male,other_race,69944,6826.57908307787,55108,82000
by_race_x_sex,region,North Central DMHAS,female,other_race,58615,4614.003870895885,49847,68035
by_race_x_sex,region,Northeastern Connecticut COG,male,white,63586,1689.6870655060764,60789,67421
by_race_x_sex,region,Northeastern Connecticut COG,female,white,52721,1708.9045442429037,48553,55263
by_race_x_sex,region,Northeastern Connecticut COG,male,black,47689,NA,44171,NA
by_race_x_sex,region,Northeastern Connecticut COG,female,black,33494,NA,NA,NA
by_race_x_sex,region,Northeastern Connecticut COG,male,latino,38000,5208.809855862562,30000,50869
by_race_x_sex,region,Northeastern Connecticut COG,female,latino,37472,3226.940128847376,32045,45008
by_race_x_sex,region,Northeastern Connecticut COG,male,api,77368,NA,26167,NA
by_race_x_sex,region,Northeastern Connecticut COG,female,api,51811,19367.893429219177,30211,113291
by_race_x_sex,region,Northeastern Connecticut COG,male,other_race,79000,9856.647440862682,57000,97107
by_race_x_sex,region,Northeastern Connecticut COG,female,other_race,54428,13223.608829936913,35000,90000
by_race_x_sex,region,Northwest Hills COG,male,white,70133,2043.0076014992114,66988,75000
by_race_x_sex,region,Northwest Hills COG,female,white,57185,1543.011391844677,53948,60000
by_race_x_sex,region,Northwest Hills COG,male,black,50842,9396.247108357717,45000,82661
by_race_x_sex,region,Northwest Hills COG,female,black,59343,7072.646990555546,55263,83736
by_race_x_sex,region,Northwest Hills COG,male,latino,54158,5253.3826640430925,46000,66765
by_race_x_sex,region,Northwest Hills COG,female,latino,45008,4192.054797357044,38684,55263
by_race_x_sex,region,Northwest Hills COG,male,api,86900,19605.841895425416,53948,132632
by_race_x_sex,region,Northwest Hills COG,female,api,55475,13694.394072988649,52988,108000
by_race_x_sex,region,Northwest Hills COG,male,other_race,67000,17525.079191041077,50000,120000
by_race_x_sex,region,Northwest Hills COG,female,other_race,58000,6714.763791987127,53948,80922
by_race_x_sex,region,QVHD,male,white,79843,2452.795173581293,75158,84781
by_race_x_sex,region,QVHD,female,white,62802,1609.656904681719,60000,66316
by_race_x_sex,region,QVHD,male,black,53000,3426.515784285209,48963,62526
by_race_x_sex,region,QVHD,female,black,56167,4305.005856049987,50000,67000
by_race_x_sex,region,QVHD,male,latino,49405,4974.738917797237,43200,62802
by_race_x_sex,region,QVHD,female,latino,41868,2927.56172419846,37764,49309
by_race_x_sex,region,QVHD,male,api,79843,9019.066778928445,70129,105976
by_race_x_sex,region,QVHD,female,api,54932,11387.724654323272,43105,88421
by_race_x_sex,region,QVHD,male,other_race,70000,8422.106982221167,54428,88421
by_race_x_sex,region,QVHD,female,other_race,56522,10875.966512530853,42390,86000
by_race_x_sex,region,Sharon Hospital HSA,male,white,70000,2213.8816129221873,66316,75000
by_race_x_sex,region,Sharon Hospital HSA,female,white,55816,1706.6631673978766,52988,59684
by_race_x_sex,region,Sharon Hospital HSA,male,black,48632,10608.819697905665,39126,82661
by_race_x_sex,region,Sharon Hospital HSA,female,black,59343,14395.220572269323,55263,115136
by_race_x_sex,region,Sharon Hospital HSA,male,latino,57185,6447.447476800888,48553,74183
by_race_x_sex,region,Sharon Hospital HSA,female,latino,47206,5549.355826092264,38684,60789
by_race_x_sex,region,Sharon Hospital HSA,male,api,100000,35590.658884082186,53948,200000
by_race_x_sex,region,Sharon Hospital HSA,female,api,55475,15563.26487996707,52988,117230
by_race_x_sex,region,Sharon Hospital HSA,male,other_race,75527,19497.407438255017,47101,126112
by_race_x_sex,region,Sharon Hospital HSA,female,other_race,58000,6636.504583067107,53948,80922
by_race_x_sex,region,South Central DMHAS,male,white,78764,1100.825521997981,76606,80922
by_race_x_sex,region,South Central DMHAS,female,white,65942,993.3994510596486,64105,68000
by_race_x_sex,region,South Central DMHAS,male,black,52168,2289.8127275989864,46000,55000
by_race_x_sex,region,South Central DMHAS,female,black,48853,2126.906758097307,43980,52335
by_race_x_sex,region,South Central DMHAS,male,latino,48553,1499.3301279721259,47101,52988
by_race_x_sex,region,South Central DMHAS,female,latino,42000,1585.8325712856215,40193,46421
by_race_x_sex,region,South Central DMHAS,male,api,83736,6900.571724669688,75362,102501
by_race_x_sex,region,South Central DMHAS,female,api,66316,5965.860566092514,56522,80000
by_race_x_sex,region,South Central DMHAS,male,other_race,63586,3905.8702318334726,57568,73000
by_race_x_sex,region,South Central DMHAS,female,other_race,56522,4932.631196259226,48553,68035
by_race_x_sex,region,South Central Regional COG,male,white,77368,1182.7702725228444,75362,80000
by_race_x_sex,region,South Central Regional COG,female,white,64738,1043.9744781904435,62802,66896
by_race_x_sex,region,South Central Regional COG,male,black,52006,2542.039427635884,45000,55000
by_race_x_sex,region,South Central Regional COG,female,black,47520,1995.2019812548115,43158,51000
by_race_x_sex,region,South Central Regional COG,male,latino,47101,1852.9438915538635,44510,51790
by_race_x_sex,region,South Central Regional COG,female,latino,41868,1528.7343752410704,39774,45782
by_race_x_sex,region,South Central Regional COG,male,api,88421,7265.135695807482,77368,105976
by_race_x_sex,region,South Central Regional COG,female,api,63848,6359.34951812283,54932,80000
by_race_x_sex,region,South Central Regional COG,male,other_race,62802,4072.4104195987334,53826,70000
by_race_x_sex,region,South Central Regional COG,female,other_race,58000,4588.117639209637,52988,71175
by_race_x_sex,region,Southeastern Connecticut COG,male,white,75527,1334.4532930254502,73269,78502
by_race_x_sex,region,Southeastern Connecticut COG,female,white,55108,1351.0708757994757,52988,58287
by_race_x_sex,region,Southeastern Connecticut COG,male,black,50842,5573.520345627562,44211,66316
by_race_x_sex,region,Southeastern Connecticut COG,female,black,44000,4834.560228523096,32369,51790
by_race_x_sex,region,Southeastern Connecticut COG,male,latino,44211,1996.1872574733068,41868,49737
by_race_x_sex,region,Southeastern Connecticut COG,female,latino,42390,2673.629622503327,38000,48553
by_race_x_sex,region,Southeastern Connecticut COG,male,api,70129,9836.39203867607,45782,84781
by_race_x_sex,region,Southeastern Connecticut COG,female,api,50621,8608.057522570554,40000,74183
by_race_x_sex,region,Southeastern Connecticut COG,male,other_race,70000,6574.5357509109945,52988,79000
by_race_x_sex,region,Southeastern Connecticut COG,female,other_race,55000,9222.972210934657,49632,86211
by_race_x_sex,region,Southeastern DMHAS,male,white,73269,1001.5146640007657,71600,75527
by_race_x_sex,region,Southeastern DMHAS,female,white,55263,1165.6341661208842,53716,58287
by_race_x_sex,region,Southeastern DMHAS,male,black,47689,4001.342262549442,44171,60000
by_race_x_sex,region,Southeastern DMHAS,female,black,44000,3957.5017643154943,36000,51790
by_race_x_sex,region,Southeastern DMHAS,male,latino,43450,2022.055159719967,41001,48963
by_race_x_sex,region,Southeastern DMHAS,female,latino,42390,2307.8848201639794,38000,47101
by_race_x_sex,region,Southeastern DMHAS,male,api,76263,9144.321332491745,48661,84781
by_race_x_sex,region,Southeastern DMHAS,female,api,52988,7832.119734235599,43158,74183
by_race_x_sex,region,Southeastern DMHAS,male,other_race,71842,6055.920210127651,57000,80922
by_race_x_sex,region,Southeastern DMHAS,female,other_race,55000,7068.914957768672,49632,77600
by_race_x_sex,region,Southwestern DMHAS,male,white,115000,2510.685094383115,110526,120370
by_race_x_sex,region,Southwestern DMHAS,female,white,83736,1530.1312686695744,80000,86000
by_race_x_sex,region,Southwestern DMHAS,male,black,52988,3196.037191082661,47101,59662
by_race_x_sex,region,Southwestern DMHAS,female,black,49385,2221.153461773605,44275,53000
by_race_x_sex,region,Southwestern DMHAS,male,latino,47101,1769.9566089600928,45000,51947
by_race_x_sex,region,Southwestern DMHAS,female,latino,40271,1372.9159682631346,38151,43542
by_race_x_sex,region,Southwestern DMHAS,male,api,120000,6781.204891405547,105976,132632
by_race_x_sex,region,Southwestern DMHAS,female,api,95000,6949.954937411577,83736,111079
by_race_x_sex,region,Southwestern DMHAS,male,other_race,70000,8239.560031907766,60708,93259
by_race_x_sex,region,Southwestern DMHAS,female,other_race,55263,7956.156591796947,44510,76000
by_race_x_sex,region,St. Vincent's Medical Center HSA,male,white,94203,2385.986650136834,90080,99436
by_race_x_sex,region,St. Vincent's Medical Center HSA,female,white,74000,1844.873756290336,70133,77368
by_race_x_sex,region,St. Vincent's Medical Center HSA,male,black,47101,2476.10419986416,44211,53948
by_race_x_sex,region,St. Vincent's Medical Center HSA,female,black,47858,2196.1586242421577,43158,51790
by_race_x_sex,region,St. Vincent's Medical Center HSA,male,latino,46421,2531.99432461246,42390,52335
by_race_x_sex,region,St. Vincent's Medical Center HSA,female,latino,37764,1776.9184920678583,34018,41001
by_race_x_sex,region,St. Vincent's Medical Center HSA,male,api,97263,10074.15405664868,80684,120370
by_race_x_sex,region,St. Vincent's Medical Center HSA,female,api,72947,7257.101070115301,63586,92199
by_race_x_sex,region,St. Vincent's Medical Center HSA,male,other_race,62802,6455.273700643488,59343,85000
by_race_x_sex,region,St. Vincent's Medical Center HSA,female,other_race,41868,6740.037371021906,36000,62802
by_race_x_sex,region,Stamford Hospital HSA,male,white,120000,5595.238866781165,110526,132470
by_race_x_sex,region,Stamford Hospital HSA,female,white,88421,2054.8789303517497,84781,92842
by_race_x_sex,region,Stamford Hospital HSA,male,black,61755,4597.157772867784,51947,70133
by_race_x_sex,region,Stamford Hospital HSA,female,black,49195,7660.204685961171,43961,74183
by_race_x_sex,region,Stamford Hospital HSA,male,latino,45800,2940.2437253962917,42390,53948
by_race_x_sex,region,Stamford Hospital HSA,female,latino,41868,3217.978640821713,38204,50869
by_race_x_sex,region,Stamford Hospital HSA,male,api,127171,7871.4965358053605,109000,140000
by_race_x_sex,region,Stamford Hospital HSA,female,api,110000,8861.68694452532,90632,125603
by_race_x_sex,region,Stamford Hospital HSA,male,other_race,79482,10293.148703092278,65000,105976
by_race_x_sex,region,Stamford Hospital HSA,female,other_race,79482,25862.15554496588,55263,158964
by_race_x_sex,region,Tolland County,male,white,79482,2486.2920316792874,75243,85000
by_race_x_sex,region,Tolland County,female,white,66316,1866.2938254766923,64738,72064
by_race_x_sex,region,Tolland County,male,black,40821,13710.165048236895,33912,90080
by_race_x_sex,region,Tolland County,female,black,38684,19186.09983042275,25121,105738
by_race_x_sex,region,Tolland County,male,latino,55263,8147.841271102753,45000,77685
by_race_x_sex,region,Tolland County,female,latino,47101,12811.784402069778,32111,84781
by_race_x_sex,region,Tolland County,male,api,86317,8181.974890848933,67825,100677
by_race_x_sex,region,Tolland County,female,api,75243,17163.042115000844,58615,130000
by_race_x_sex,region,Tolland County,male,other_race,82895,14759.457796931609,40000,100677
by_race_x_sex,region,Tolland County,female,other_race,50000,11029.761760536396,33158,78502
by_race_x_sex,region,Western Connecticut COG,male,white,107896,1281.46373884873,105976,111000
by_race_x_sex,region,Western Connecticut COG,female,white,80542,1624.1753544057185,77368,83736
by_race_x_sex,region,Western Connecticut COG,male,black,60000,3826.4595772583057,51928,66988
by_race_x_sex,region,Western Connecticut COG,female,black,51928,4539.866247231966,44669,62526
by_race_x_sex,region,Western Connecticut COG,male,latino,49400,2134.41946086456,45570,53948
by_race_x_sex,region,Western Connecticut COG,female,latino,41868,2624.154068546919,39211,49516
by_race_x_sex,region,Western Connecticut COG,male,api,113291,4995.235530441083,105976,125603
by_race_x_sex,region,Western Connecticut COG,female,api,90000,7742.147958157527,77455,107896
by_race_x_sex,region,Western Connecticut COG,male,other_race,69000,10587.732566420562,55263,97000
by_race_x_sex,region,Western Connecticut COG,female,other_race,61755,9617.37859094008,50000,88000
by_race_x_sex,region,Western DMHAS,male,white,78502,1376.0074702675481,75527,80922
by_race_x_sex,region,Western DMHAS,female,white,63659,857.4254814177635,62580,65942
by_race_x_sex,region,Western DMHAS,male,black,47101,2512.2058367653576,43158,53053
by_race_x_sex,region,Western DMHAS,female,black,50495,3900.819923091189,43980,59343
by_race_x_sex,region,Western DMHAS,male,latino,50842,2076.997260309277,46000,54158
by_race_x_sex,region,Western DMHAS,female,latino,39211,1609.0018354026865,37764,44086
by_race_x_sex,region,Western DMHAS,male,api,99474,8214.286953499139,75527,107896
by_race_x_sex,region,Western DMHAS,female,api,70000,4416.658689034207,62580,80000
by_race_x_sex,region,Western DMHAS,male,other_race,64738,5893.878518357629,54711,78000
by_race_x_sex,region,Western DMHAS,female,other_race,55263,9677.757127363506,37000,75362
by_race_x_sex,region,Windham County,male,white,63586,1689.6870655060764,60789,67421
by_race_x_sex,region,Windham County,female,white,52721,1708.9045442429037,48553,55263
by_race_x_sex,region,Windham County,male,black,47689,NA,44171,NA
by_race_x_sex,region,Windham County,female,black,33494,NA,NA,NA
by_race_x_sex,region,Windham County,male,latino,38000,5208.809855862562,30000,50869
by_race_x_sex,region,Windham County,female,latino,37472,3226.940128847376,32045,45008
by_race_x_sex,region,Windham County,male,api,77368,NA,26167,NA
by_race_x_sex,region,Windham County,female,api,51811,19367.893429219177,30211,113291
by_race_x_sex,region,Windham County,male,other_race,79000,9856.647440862682,57000,97107
by_race_x_sex,region,Windham County,female,other_race,54428,13223.608829936913,35000,90000
by_race_x_sex,region,Windham Hospital HSA,male,white,71842,1329.5977704753745,69944,75158
by_race_x_sex,region,Windham Hospital HSA,female,white,59343,1487.2598908118553,56167,62000
by_race_x_sex,region,Windham Hospital HSA,male,black,44171,8721.9422784583,37092,71842
by_race_x_sex,region,Windham Hospital HSA,female,black,33494,10494.959156668054,26494,68884
by_race_x_sex,region,Windham Hospital HSA,male,latino,45217,3291.172401003542,40000,52988
by_race_x_sex,region,Windham Hospital HSA,female,latino,39211,3119.189055128117,34760,47101
by_race_x_sex,region,Windham Hospital HSA,male,api,80922,6587.8230803008355,67825,93947
by_race_x_sex,region,Windham Hospital HSA,female,api,58615,10635.238618588664,51811,94203
by_race_x_sex,region,Windham Hospital HSA,male,other_race,81000,8627.650477627261,60000,94203
by_race_x_sex,region,Windham Hospital HSA,female,other_race,54428,9136.628047522237,37092,73369
by_race_x_sex,puma,0900100,male,white,88969,2967.006086631539,83736,95378
by_race_x_sex,puma,0900100,female,white,73269,2252.530010991973,68526,77368
by_race_x_sex,puma,0900100,male,black,52335,10875.491174214616,42390,86317
by_race_x_sex,puma,0900100,female,black,55263,10961.20493211983,43768,87922
by_race_x_sex,puma,0900100,male,latino,49632,3650.810467191599,43158,57568
by_race_x_sex,puma,0900100,female,latino,38000,3031.6266416313615,31401,43400
by_race_x_sex,puma,0900100,male,api,104669,10430.204818410852,78502,120000
by_race_x_sex,puma,0900100,female,api,65000,8765.056531049995,55000,90000
by_race_x_sex,puma,0900100,male,other_race,54711,3789.030911784775,49737,65000
by_race_x_sex,puma,0900100,female,other_race,36400,18379.779270778334,29132,105000
by_race_x_sex,puma,0900101,male,white,158964,7559.412903784666,148367,178029
by_race_x_sex,puma,0900101,female,white,95378,4138.607630852554,88421,104669
by_race_x_sex,puma,0900101,male,black,120370,42337.363451046986,43158,221053
by_race_x_sex,puma,0900101,female,black,51790,24829.81598614425,34153,140000
by_race_x_sex,puma,0900101,male,latino,62802,9066.324045531514,58000,94203
by_race_x_sex,puma,0900101,female,latino,75362,12040.614532125135,62802,111275
by_race_x_sex,puma,0900101,male,api,145660,9184.856725396965,136070,172634
by_race_x_sex,puma,0900101,female,api,143684,16704.33890357226,108316,175000
by_race_x_sex,puma,0900101,male,other_race,76000,61868.62405619365,31398,287368
by_race_x_sex,puma,0900101,female,other_race,60000,33109.7484780655,31401,170000
by_race_x_sex,puma,0900102,male,white,115136,5633.712591007396,107896,130000
by_race_x_sex,puma,0900102,female,white,88421,2358.935845912111,84000,93259
by_race_x_sex,puma,0900102,male,black,62802,6369.680730078996,55263,80684
by_race_x_sex,puma,0900102,female,black,45316,8393.93962453558,41000,74315
by_race_x_sex,puma,0900102,male,latino,45570,3234.8277131881896,42080,54821
by_race_x_sex,puma,0900102,female,latino,41868,3759.4281517576655,38151,52988
by_race_x_sex,puma,0900102,male,api,128984,9792.030771484882,107896,146537
by_race_x_sex,puma,0900102,female,api,110000,8827.460334816416,90632,125603
by_race_x_sex,puma,0900102,male,other_race,77368,10959.043045086115,55263,99436
by_race_x_sex,puma,0900102,female,other_race,83736,25388.630121324022,55263,158964
by_race_x_sex,puma,0900103,male,white,149211,6599.081397648308,135947,161844
by_race_x_sex,puma,0900103,female,white,85238,3748.8955495407395,79482,94203
by_race_x_sex,puma,0900103,male,black,53948,8911.365940593341,35606,71211
by_race_x_sex,puma,0900103,female,black,52988,7297.511545344155,41000,70000
by_race_x_sex,puma,0900103,male,latino,51292,3546.935915383927,45000,59000
by_race_x_sex,puma,0900103,female,latino,44874,3601.7379458776236,38728,52988
by_race_x_sex,puma,0900103,male,api,113291,12462.496031382148,86317,135949
by_race_x_sex,puma,0900103,female,api,84000,18873.25849738045,58615,134000
by_race_x_sex,puma,0900103,male,other_race,115136,19092.19083732511,69000,146600
by_race_x_sex,puma,0900103,female,other_race,68035,16486.778589276186,39789,108000
by_race_x_sex,puma,0900104,male,white,59343,3828.0173089218874,49632,64738
by_race_x_sex,puma,0900104,female,white,48553,5195.156061479658,44211,64738
by_race_x_sex,puma,0900104,male,black,44510,2257.3369890676163,43105,52000
by_race_x_sex,puma,0900104,female,black,46629,2419.0580840406146,42080,51602
by_race_x_sex,puma,0900104,male,latino,41001,2658.1164639141407,34855,45316
by_race_x_sex,puma,0900104,female,latino,32853,1757.4379350607892,30839,37764
by_race_x_sex,puma,0900104,male,api,49737,16637.496004857996,46892,114947
by_race_x_sex,puma,0900104,female,api,34900,8797.913006769468,30000,66316
by_race_x_sex,puma,0900104,male,other_race,60708,8904.808561465354,33158,70000
by_race_x_sex,puma,0900104,female,other_race,38000,6356.36901991418,32369,58264
by_race_x_sex,puma,0900105,male,white,93156,2213.9344949434526,88421,97107
by_race_x_sex,puma,0900105,female,white,73124,2189.6639988113498,69632,78225
by_race_x_sex,puma,0900105,male,black,62802,9649.661343132087,46578,85000
by_race_x_sex,puma,0900105,female,black,57474,6444.734453278636,43238,68884
by_race_x_sex,puma,0900105,male,latino,70000,6168.641214660662,59343,83736
by_race_x_sex,puma,0900105,female,latino,55000,4965.831109397355,47101,66765
by_race_x_sex,puma,0900105,male,api,100677,20536.5625480552,83736,165789
by_race_x_sex,puma,0900105,female,api,72947,14281.894285520293,62802,120000
by_race_x_sex,puma,0900105,male,other_race,59343,21480.104761516286,45000,133000
by_race_x_sex,puma,0900105,female,other_race,38843,16534.1689670763,26526,96000
by_race_x_sex,puma,0900300,male,white,75527,1333.7012436652376,73269,78502
by_race_x_sex,puma,0900300,female,white,62802,1757.1487667214174,60000,66896
by_race_x_sex,puma,0900300,male,black,71175,6251.7534371730635,50711,75527
by_race_x_sex,puma,0900300,female,black,55263,5300.761403540504,45700,66765
by_race_x_sex,puma,0900300,male,latino,47101,7312.646740833547,37681,66765
by_race_x_sex,puma,0900300,female,latino,46421,6975.652387276739,40000,67825
by_race_x_sex,puma,0900300,male,api,100000,9965.239298131073,80922,120370
by_race_x_sex,puma,0900300,female,api,66316,6586.614214171901,52335,78502
by_race_x_sex,puma,0900300,male,other_race,73269,13448.83421913091,44885,99436
